centroid_name,lon,lat,GEOID
centroid_541,-112.030958,41.081032,49011125412
centroid_542,-112.031147,41.466594,49003960802
centroid_543,-112.031495,41.140322,49011125301
centroid_544,-112.032504,40.501352,49035113112
centroid_545,-112.032898,40.64508,49035113526
centroid_546,-112.033318,41.169763,49057210701
centroid_547,-112.033448,41.093148,49011125600
centroid_548,-112.034503,41.118399,49011125502
centroid_549,-112.034807,40.628157,49035113540
centroid_550,-112.035582,40.667654,49035113545
centroid_551,-112.036508,40.68917,49035113409
centroid_552,-112.037258,40.678028,49035113544
centroid_553,-112.037353,41.072467,49011125413
centroid_554,-112.038548,40.634744,49035113541
centroid_555,-112.041071,41.31379,49057210406
centroid_556,-112.043027,41.190524,49057210513
centroid_557,-112.043257,40.61559,49035113542
centroid_558,-112.043544,40.48659,49035115107
centroid_559,-112.044004,41.224744,49057210518
centroid_560,-112.04462,41.157065,49057210704
centroid_561,-112.04464,40.416998,49049980100
centroid_562,-112.044962,40.600452,49035114303
centroid_563,-112.045491,41.132929,49011125305
centroid_564,-112.045816,40.708437,49035113415
centroid_565,-112.046692,40.700374,49035113414
centroid_566,-112.046806,41.146064,49011125304
centroid_567,-112.049536,41.16899,49057210703
centroid_568,-112.053406,40.688611,49035113408
centroid_569,-112.054229,41.117017,49011125501
centroid_570,-112.054838,41.096721,49011125503
centroid_571,-112.056705,41.075043,49011125410
centroid_572,-112.057071,41.297894,49057210407
centroid_573,-112.059323,41.084175,49011125409
centroid_574,-112.060049,41.169206,49057210508
centroid_575,-112.061717,41.261283,49057210404
centroid_576,-112.062091,40.612222,49035113909
centroid_577,-112.063742,41.070749,49011125411
centroid_578,-112.06381,40.509627,49035113105
centroid_579,-112.066518,41.183627,49057210514
centroid_580,-112.07398,41.145399,49011125306
centroid_581,-112.074928,41.158589,49057210510
centroid_582,-112.075156,41.169796,49057210509
centroid_583,-112.076139,40.690921,49035113905
centroid_584,-112.077923,40.708853,49035113903
centroid_585,-112.078284,41.202736,49057210517
centroid_586,-112.078782,41.110175,49011125407
centroid_587,-112.078848,40.700035,49035113904
centroid_588,-112.086272,41.136578,49011125307
centroid_589,-112.092658,41.171545,49057210515
centroid_590,-112.098484,40.696911,49035113908
centroid_591,-112.101679,40.709435,49035113906
centroid_592,-112.1043,41.103239,49011125408
centroid_593,-112.107403,41.287287,49057210408
centroid_594,-112.123063,41.734328,49003960200
centroid_595,-112.124018,41.174112,49057210516
centroid_596,-112.155021,41.709816,49003960301
centroid_597,-112.167066,41.621077,49003960400
centroid_598,-112.181054,41.710585,49003960302
centroid_599,-112.267332,40.622361,49045130701
centroid_600,-112.278959,40.546065,49045131004
centroid_601,-112.28466,40.556315,49045131001
centroid_602,-112.286172,40.536135,49045131003
centroid_603,-112.286607,40.526169,49045131200
centroid_604,-112.289386,40.545078,49045131005
centroid_605,-112.303612,40.627414,49045130705
centroid_606,-112.307294,40.523776,49045131102
centroid_607,-112.307624,40.54359,49045130900
centroid_608,-112.308397,40.639212,49045130704
centroid_609,-112.320972,40.516891,49045131101
centroid_610,-112.332731,40.572103,49045130706
centroid_611,-112.371582,40.420927,49045130707
centroid_612,-112.406054,40.607924,49045130708
centroid_613,-112.425961,41.80798,49003960100
centroid_614,-112.460734,40.594616,49045130800
centroid_615,-112.500689,40.850611,49045980000
centroid_616,-113.660482,40.562716,49045130600
