centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-112.04464_40.416998,centroid_561,46.7,15.23,5.73,1.18,31.16
-112.044962_40.600452,centroid_562,66.89,10.19,1.3,1.89,19.73
-112.045491_41.132929,centroid_563,68.95,8.97,0.19,1.36,20.53
-112.045816_40.708437,centroid_564,73.27,7.08,0.49,0.9,18.26
-112.046692_40.700374,centroid_565,73.87,7.45,0.59,1.02,17.07
-112.046806_41.146064,centroid_566,67.43,9.24,0.21,1.37,21.75
-112.049536_41.16899,centroid_567,65.53,9.67,0.24,1.47,23.09
-112.053406_40.688611,centroid_568,72.55,7.71,0.73,1.14,17.87
-112.054229_41.117017,centroid_569,72.35,7.98,0.19,1.18,18.29
-112.054838_41.096721,centroid_570,73.53,7.45,0.12,1.14,17.76
-112.056705_41.075043,centroid_571,73.86,7.4,0.22,1.14,17.38
-112.057071_41.297894,centroid_572,58.74,10.92,0.17,1.85,28.33
-112.059323_41.084175,centroid_573,74.35,7.26,0.15,1.08,17.15
-112.060049_41.169206,centroid_574,66.16,9.87,0.2,1.5,22.27
-112.061717_41.261283,centroid_575,62.36,10.0,0.12,1.63,25.89
-112.062091_40.612222,centroid_576,68.1,9.9,1.12,2.08,18.8
-112.063742_41.070749,centroid_577,74.83,7.23,0.14,1.1,16.7
-112.06381_40.509627,centroid_578,55.45,12.89,2.02,1.26,28.39
-112.066518_41.183627,centroid_579,67.2,9.64,0.16,1.44,21.57
-112.07398_41.145399,centroid_580,72.7,7.75,0.19,1.14,18.23
-112.074928_41.158589,centroid_581,71.56,8.08,0.13,1.17,19.06
-112.075156_41.169796,centroid_582,69.82,8.83,0.24,1.29,19.82
-112.076139_40.690921,centroid_583,72.94,7.53,0.46,1.31,17.75
-112.077923_40.708853,centroid_584,73.65,7.21,0.38,0.99,17.77
-112.078284_41.202736,centroid_585,65.9,9.75,0.17,1.37,22.81
-112.078782_41.110175,centroid_586,76.65,6.53,0.15,0.97,15.7
-112.078848_40.700035,centroid_587,74.16,7.41,0.4,1.21,16.83
-112.086272_41.136578,centroid_588,75.8,6.94,0.15,1.0,16.11
-112.092658_41.171545,centroid_589,72.86,7.7,0.11,1.09,18.24
