,centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
24,-111.57445_40.155571,centroid_25,31.99,23.8,0.61,0.78,42.81
25,-111.578766_40.760625,centroid_26,51.85,19.23,6.87,0.58,21.48
26,-111.579662_40.141332,centroid_27,30.39,23.64,0.5,0.77,44.69
27,-111.58085_40.12006,centroid_28,27.9,25.12,0.58,0.8,45.6
28,-111.586724_40.743115,centroid_29,49.11,21.45,7.02,0.59,21.84
29,-111.589586_40.153301,centroid_30,30.93,23.26,0.58,0.72,44.52
30,-111.594259_40.169936,centroid_31,31.69,22.91,0.85,0.76,43.8
31,-111.600062_40.162271,centroid_32,30.62,23.46,0.74,0.73,44.46
32,-111.602842_40.150459,centroid_33,30.5,23.6,0.63,0.71,44.56
33,-111.604913_40.177464,centroid_34,30.77,23.07,0.77,0.76,44.64
34,-111.608735_40.089857,centroid_35,31.53,23.91,0.36,0.75,43.46
35,-111.61045_40.126741,centroid_36,31.54,23.25,0.43,0.66,44.12
36,-111.614768_40.171519,centroid_37,30.41,23.1,0.73,0.75,45.01
37,-111.618345_40.106963,centroid_38,31.16,24.04,0.4,0.73,43.66
38,-111.623879_40.092185,centroid_39,31.33,23.48,0.36,0.79,44.04
39,-111.628876_40.159185,centroid_40,29.98,22.91,0.74,0.69,45.69
40,-111.62903_40.214505,centroid_41,30.27,23.9,1.08,0.77,43.98
41,-111.629498_40.123103,centroid_42,31.52,23.67,0.57,0.7,43.54
42,-111.632447_40.106182,centroid_43,32.25,23.78,0.5,0.73,42.74
43,-111.634914_40.233733,centroid_44,29.19,23.52,1.49,0.76,45.04
44,-111.635536_40.253363,centroid_45,28.04,24.25,2.5,0.78,44.43
45,-111.636945_40.2272,centroid_46,29.96,22.85,1.34,0.79,45.05
46,-111.638428_40.240275,centroid_47,28.09,22.76,1.92,0.77,46.47
47,-111.638558_40.096336,centroid_48,33.54,22.8,0.36,0.71,42.6
48,-111.640686_40.258373,centroid_49,27.92,23.01,2.61,0.84,45.62
49,-111.64194_40.218808,centroid_50,29.97,22.73,1.15,0.76,45.39
50,-111.646087_40.11793,centroid_51,32.96,22.05,0.72,0.7,43.57
51,-111.646814_40.276497,centroid_52,27.4,22.85,2.62,0.76,46.37
52,-111.64752_40.29044,centroid_53,27.07,23.71,2.92,0.8,45.51
53,-111.64757_40.110315,centroid_54,34.21,22.17,0.64,0.66,42.32
54,-111.64853_40.2644,centroid_55,27.98,22.67,2.53,0.76,46.06
55,-111.648661_40.251416,centroid_56,28.37,23.66,2.57,0.76,44.64
56,-111.649372_40.230038,centroid_57,29.99,22.25,1.54,0.7,45.51
57,-111.650703_40.240069,centroid_58,29.55,22.65,2.3,0.73,44.77
58,-111.650786_40.236052,centroid_59,29.64,21.49,1.75,0.74,46.37
59,-111.650822_40.243418,centroid_60,28.64,22.65,2.42,0.81,45.48
60,-111.65995_40.25576,centroid_61,28.92,22.29,2.41,0.76,45.61
61,-111.660551_40.232836,centroid_62,30.2,22.47,2.06,0.73,44.55
62,-111.66172_40.114122,centroid_63,35.14,22.28,0.84,0.67,41.07
63,-111.662169_40.242473,centroid_64,30.24,22.31,2.19,0.74,44.52
64,-111.662305_40.280341,centroid_65,27.46,21.9,2.67,0.76,47.21
65,-111.662739_40.083359,centroid_66,35.48,22.47,0.37,0.73,40.95
66,-111.66314_40.048822,centroid_67,35.24,22.04,0.41,0.63,41.67
67,-111.666038_40.25546,centroid_68,29.78,21.97,2.22,0.75,45.28
68,-111.667578_40.222519,centroid_69,30.38,22.56,1.83,0.69,44.54
69,-111.667748_40.104488,centroid_70,35.55,22.5,0.83,0.69,40.43
