centroid,centroid_name,GSL,Misc,SevierLake,TooleLake,WestDesert
-111.9686_41.063783,centroid_448,56.7,12.29,0.34,1.99,28.69
-111.968726_40.772193,centroid_449,66.61,9.31,0.8,1.11,22.17
-111.969202_40.510658,centroid_450,49.87,14.35,4.51,1.18,30.09
-111.969521_40.688171,centroid_451,62.43,10.83,1.67,0.88,24.19
-111.971081_40.572403,centroid_452,54.56,13.14,2.62,1.59,28.09
-111.972082_40.616407,centroid_453,57.39,12.16,2.2,1.43,26.82
-111.972178_40.675112,centroid_454,61.79,11.28,1.77,1.05,24.11
-111.973179_41.226044,centroid_455,54.76,12.23,0.3,2.18,30.54
-111.973573_40.604184,centroid_456,56.37,12.63,2.4,1.32,27.29
-111.974005_40.531144,centroid_457,52.19,13.37,2.79,1.51,30.13
-111.974155_41.212538,centroid_458,55.83,11.81,0.29,1.88,30.19
-111.97438_41.203082,centroid_459,55.11,12.13,0.36,1.88,30.52
-111.975047_41.239805,centroid_460,52.82,12.25,0.23,2.16,32.55
-111.975796_40.631238,centroid_461,59.0,11.82,2.19,1.44,25.56
-111.975978_40.544886,centroid_462,53.53,13.49,2.66,1.62,28.69
-111.976022_40.660124,centroid_463,59.9,11.19,1.9,1.1,25.91
-111.977644_40.646834,centroid_464,60.19,11.64,1.93,1.22,25.02
-111.978806_41.179923,centroid_465,59.61,11.42,0.25,1.77,26.95
-111.979543_41.258746,centroid_466,52.03,12.72,0.27,2.41,32.56
-111.980286_41.169234,centroid_467,60.21,11.2,0.32,1.64,26.62
-111.980431_41.284824,centroid_468,51.64,13.39,0.36,2.65,31.96
-111.981298_41.04229,centroid_469,62.23,10.76,0.31,1.78,24.93
-111.981719_41.099645,centroid_470,59.71,11.97,0.39,1.9,26.03
-111.982206_40.688298,centroid_471,63.59,10.37,1.62,0.89,23.53
-111.982771_40.674941,centroid_472,62.64,11.09,1.64,1.15,23.48
-111.983151_41.326667,centroid_473,49.88,13.54,0.35,2.75,33.48
-111.983191_40.357191,centroid_474,26.38,19.84,12.82,0.95,40.02
-111.984192_40.558121,centroid_475,53.55,13.35,2.68,1.67,28.76
-111.985378_41.114437,centroid_476,59.39,11.32,0.36,1.88,27.05
-111.985541_40.628845,centroid_477,58.63,11.97,2.0,1.5,25.9
-111.98624_41.299845,centroid_478,50.18,12.88,0.31,2.64,33.99
-111.987143_41.054503,centroid_479,61.26,10.53,0.31,1.87,26.03
-111.987762_40.584366,centroid_480,55.6,12.35,2.36,1.52,28.17
-111.988183_40.486484,centroid_481,48.12,14.98,3.89,1.4,31.61
-111.989418_41.940102,centroid_482,15.54,23.07,0.14,1.59,59.66
-111.989566_41.095744,centroid_483,61.93,10.81,0.28,1.76,25.22
-111.989971_41.260981,centroid_484,51.48,12.93,0.24,2.49,32.86
-111.990743_40.700582,centroid_485,63.56,10.41,1.32,0.83,23.88
-111.992476_40.643452,centroid_486,60.56,11.57,1.73,1.27,24.86
-111.993479_40.59462,centroid_487,55.76,12.48,2.28,1.52,27.96
-111.993725_40.363105,centroid_488,25.69,19.84,11.99,1.03,41.44
-111.99379_41.081887,centroid_489,61.97,10.78,0.31,1.79,25.14
-111.994723_40.660784,centroid_490,61.72,11.12,1.53,1.21,24.42
-111.995243_40.572848,centroid_491,55.5,12.66,2.37,1.68,27.78
-111.995718_40.674288,centroid_492,61.89,10.78,1.43,1.13,24.78
-111.995826_40.616686,centroid_493,57.89,12.37,2.01,1.53,26.2
-111.996017_40.556347,centroid_494,54.49,13.08,2.67,1.71,28.05
-111.996204_40.688709,centroid_495,63.09,10.44,1.38,0.93,24.15
-111.99729_40.64703,centroid_496,61.03,11.4,1.67,1.34,24.57
-111.997813_41.188851,centroid_497,58.63,11.64,0.3,1.89,27.54
-111.998657_41.219744,centroid_498,54.06,12.43,0.25,1.99,31.28
-112.000428_41.31434,centroid_499,50.1,12.99,0.19,2.65,34.07
-112.000709_40.529665,centroid_500,51.45,13.38,2.76,1.64,30.77
-112.001492_40.541008,centroid_501,52.5,13.34,2.64,1.73,29.78
-112.001644_41.10941,centroid_502,64.88,10.16,0.37,1.69,22.91
-112.003382_41.521646,centroid_503,38.08,16.72,0.17,1.83,43.22
-112.003874_40.617978,centroid_504,58.18,12.41,2.06,1.62,25.73
-112.00425_40.70772,centroid_505,64.29,10.22,1.13,0.94,23.42
-112.004627_41.172579,centroid_506,61.99,11.44,0.23,1.72,24.62
-112.007187_40.662033,centroid_507,61.9,10.84,1.56,1.28,24.43
-112.007791_40.31239,centroid_508,24.14,19.66,12.99,0.94,42.27
-112.008483_41.516544,centroid_509,40.02,16.34,0.14,2.04,41.45
-112.008946_41.267921,centroid_510,50.95,12.83,0.29,2.28,33.66
-112.00913_40.645508,centroid_511,60.04,11.92,1.64,1.41,24.99
-112.009192_41.497793,centroid_512,39.48,16.59,0.18,2.1,41.65
-112.009729_40.483189,centroid_513,48.82,15.09,3.27,1.51,31.31
-112.010258_41.097492,centroid_514,64.94,10.24,0.23,1.64,22.94
-112.011518_40.558685,centroid_515,53.82,13.38,2.4,1.86,28.55
-112.011919_40.30206,centroid_516,23.94,19.85,12.67,0.95,42.6
-112.012235_40.493281,centroid_517,48.86,15.2,3.06,1.61,31.27
-112.012244_40.616436,centroid_518,58.77,12.23,1.86,1.74,25.4
-112.012293_40.678312,centroid_519,62.73,10.65,1.42,1.19,24.01
-112.013095_40.593192,centroid_520,56.52,13.03,2.25,1.82,26.38
-112.013694_41.081241,centroid_521,65.35,9.66,0.24,1.61,23.13
-112.013799_40.502771,centroid_522,50.01,14.66,3.06,1.41,30.87
-112.013847_40.514439,centroid_523,50.65,14.06,2.67,1.96,30.66
-112.013886_40.700084,centroid_524,63.2,10.35,1.2,0.99,24.25
-112.013913_40.68891,centroid_525,62.28,10.51,1.31,1.03,24.87
-112.015179_41.41467,centroid_526,48.27,13.02,0.21,2.47,36.03
-112.015221_40.634595,centroid_527,58.89,11.83,1.7,1.67,25.91
-112.015384_40.672285,centroid_528,63.34,10.68,1.25,1.22,23.51
-112.015703_40.627586,centroid_529,58.83,12.15,1.79,1.76,25.48
-112.016916_41.112229,centroid_530,65.6,10.0,0.33,1.57,22.49
-112.01748_40.360281,centroid_531,25.59,20.8,10.83,1.24,41.55
-112.017792_40.658171,centroid_532,61.14,11.03,1.41,1.32,25.1
-112.019615_40.603192,centroid_533,57.3,12.63,1.9,1.91,26.27
-112.019787_40.646025,centroid_534,59.67,11.25,1.54,1.41,26.14
-112.020384_41.076257,centroid_535,67.46,9.27,0.23,1.49,21.56
-112.023359_40.527993,centroid_536,50.61,14.23,2.52,1.85,30.79
-112.023602_41.521734,centroid_537,39.27,15.87,0.14,2.14,42.59
-112.024698_41.495513,centroid_538,39.49,16.13,0.15,2.22,42.01
-112.028804_40.565908,centroid_539,54.23,13.87,2.32,2.0,27.6
-112.030471_41.18391,centroid_540,61.77,11.32,0.31,1.7,24.9
-112.030958_41.081032,centroid_541,68.46,9.18,0.27,1.46,20.63
-112.031147_41.466594,centroid_542,46.05,14.37,0.22,2.18,37.19
-112.031495_41.140322,centroid_543,64.65,9.94,0.23,1.6,23.58
-112.032504_40.501352,centroid_544,49.14,14.89,2.86,1.6,31.51
-112.032898_40.64508,centroid_545,60.28,12.04,1.51,1.64,24.54
-112.033318_41.169763,centroid_546,63.47,10.73,0.25,1.59,23.96
-112.033448_41.093148,centroid_547,67.64,9.16,0.25,1.41,21.55
-112.034503_41.118399,centroid_548,67.37,9.41,0.22,1.54,21.47
-112.034807_40.628157,centroid_549,59.14,12.16,1.57,2.02,25.12
-112.035582_40.667654,centroid_550,61.8,11.3,1.35,1.36,24.19
-112.036508_40.68917,centroid_551,63.26,10.76,1.33,1.34,23.31
-112.037258_40.678028,centroid_552,62.62,11.04,1.32,1.31,23.7
-112.037353_41.072467,centroid_553,69.79,8.66,0.24,1.35,19.97
-112.038548_40.634744,centroid_554,58.65,12.04,1.44,2.13,25.74
-112.041071_41.31379,centroid_555,50.96,12.85,0.19,2.4,33.59
-112.043027_41.190524,centroid_556,62.59,10.68,0.19,1.69,24.85
-112.043257_40.61559,centroid_557,56.9,13.16,1.61,2.45,25.87
-112.043544_40.48659,centroid_558,46.19,15.23,3.61,1.83,33.14
-112.044004_41.224744,centroid_559,58.6,11.25,0.22,1.67,28.26
-112.04462_41.157065,centroid_560,63.43,10.7,0.24,1.5,24.14
-112.04464_40.416998,centroid_561,38.66,17.52,6.6,1.36,35.86
-112.044962_40.600452,centroid_562,55.33,13.75,1.76,2.55,26.61
-112.045491_41.132929,centroid_563,66.92,9.56,0.2,1.45,21.87
-112.045816_40.708437,centroid_564,63.14,9.76,0.68,1.25,25.18
-112.046692_40.700374,centroid_565,63.9,10.3,0.82,1.41,23.59
-112.046806_41.146064,centroid_566,65.32,9.83,0.22,1.46,23.16
-112.049536_41.16899,centroid_567,63.37,10.28,0.26,1.56,24.53
-112.053406_40.688611,centroid_568,62.54,10.52,1.0,1.55,24.39
-112.054229_41.117017,centroid_569,70.63,8.48,0.2,1.26,19.43
-112.054838_41.096721,centroid_570,71.91,7.9,0.13,1.21,18.84
-112.056705_41.075043,centroid_571,72.36,7.83,0.23,1.21,18.37
-112.057071_41.297894,centroid_572,55.07,11.88,0.18,2.02,30.84
-112.059323_41.084175,centroid_573,72.88,7.68,0.16,1.14,18.14
-112.060049_41.169206,centroid_574,64.19,10.44,0.21,1.59,23.57
